objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"3 Segreti","218314","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50865496","5.57189","5.9721","1.25","11384","907","thing","3 Secrets","2","8","15","15","15","2017","2,3,4,5,6","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","DV Games","Italian","2017","Italian edition"
"7 Wonders","68448","8","11","0","1","0","0","0","0","0","0","0","3","","","","","","14162739","7.54566","7.65993","2.315","118","157753","thing","7 Wonders","2","7","30","30","30","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","35","EUR","","","","","1","","","","Asterion Press","Italian","2011","Asterion Italian first edition"
"7 Wonders Duel","173346","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31075899","7.94922","8.07418","2.2269","24","187443","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","2015-10-31","Asmodee","1","","","","Asterion Press; Repos Production","Italian","2015","Italian first edition"
"7 Wonders Duel: Messe Promo Card","186069","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31359505","6.22031","7.35113","2.2059","0","7140","thing","7 Wonders Duel: The Messe Promo Card","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Repos Production","French; German","2015","Multilingual edition"
"7 Wonders Duel: Pantheon","202976","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111439898","7.62316","7.99477","2.309","0","51993","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Repos Production","Italian","2016","Italian edition"
"7 Wonders: Babel","154638","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","26098754","6.32386","6.83212","2.6549","0","15272","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Asterion Press","Italian","2014","Italian edition"
"7 Wonders: Catan","110308","7","6","0","1","0","0","0","0","0","0","0","3","","","","","","15470833","6.18459","7.0972","1.9359","0","6890","thing","7 Wonders: Catan","2","7","30","30","30","2011","2,3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Repos Production","English; German","2011","English/German edition"
"7 Wonders: Cities","111661","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","16951938","7.3473","7.7964","2.3421","0","32204","thing","7 Wonders: Cities","2","8","40","40","40","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Asterion Press; Repos Production","Italian","2012","Italian edition"
"7 Wonders: Leaders","92539","9","10","0","1","0","0","0","0","0","0","0","3","","","","","","15470835","7.45596","7.81176","2.2732","0","37627","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Repos Production","Italian","2011","Italian edition 2011"
"7 Wonders: Manneken Pis","83445","6","0","0","1","0","0","0","0","0","0","0","1","","","","","","14162746","6.08569","6.77037","1.9681","0","6211","thing","7 Wonders: Manneken Pis","2","7","30","30","30","2011","3,4,5,6,7","3,4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Repos Production; W. Nostheide Verlag GmbH","German","2011","German edition"
"7 Wonders: Wonder Pack","133993","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","18868466","6.94163","7.58595","2.2563","0","18227","thing","7 Wonders: Wonder Pack","2","7","30","30","30","2013","3,4,5,6,7","4","10+","No necessary in-game text","","","","","","expansion","","12","EUR","","","2013-04-07","","1","","","","Repos Production","English; French; German; Spanish","2013","English/French/German/Spanish edition"
"Above and Below","172818","0","0","0","1","0","0","0","0","0","0","0","3","","Ospitato da JustPlay Bologna","","","","50865500","7.06325","7.33876","2.5139","434","27466","thing","Above and Below","2","4","90","90","90","2016","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","DV Games","Italian","2016","Italian edition"
"Ad Astra","38343","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","12871585","6.23398","6.8466","2.6795","2124","3047","thing","Ad Astra","3","5","60","60","60","2009","3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","35","EUR","","","2011-04-15","Goblin","1","","","","Edge Entertainment; Nexus Editrice","Dutch; English; French; German; Italian; Spanish","2009","Multilingual edition"
"After Us","369548","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","145844049","6.22317","6.77647","2.0309","2172","4378","thing","After Us","1","6","60","60","40","2023","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","15","EUR","","","","","","","","","Catch Up Games; MS Edizioni","Italian","2023","Italian edition"
"Agent Avenue","422732","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133410305","7.00172","7.51378","1.212","510","14854","thing","Agent Avenue","2","4","20","20","10","2024","2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Nerdlab Games","English","2024","English edition"
"Agricola","31260","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","9561669","7.72026","7.85469","3.6358","66","90862","thing","Agricola","1","5","150","150","30","2009","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Stratelibri","Italian","2009","Stratelibri Italian first edition"
"Alchimisti","161970","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31075920","7.39341","7.63638","3.9215","179","33859","thing","Alchemists","2","4","120","120","120","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Cranio Creations","Italian","2014","Italian edition"
"Alchimisti: Anello del Favore carta promo","167849","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","31075911","5.69781","7.51824","3.6875","0","1953","thing","Alchemists: Ring of Favor","2","4","90","90","90","2014","2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Czech Games Edition (CGE)","German","2014","German edition"
"Alhambra","6249","7.5","1","0","1","0","0","0","0","0","0","0","1","","Bought in Aachen
With Dirk Henn Signature","","","","8896842","6.90582","7.0351","2.0965","618","46235","thing","Alhambra","2","6","60","60","45","2003","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","German","2003","Queen German first edition"
"Alta Tensione","2651","8","1","0","1","0","0","0","0","0","0","0","1","","","","","","6781116","7.6791","7.7967","3.2452","76","87665","thing","Power Grid","2","6","120","120","120","2008","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Stratelibri","Italian","2008","Italian first edition"
"Alta Tensione: Fabrik Manager","44163","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","9911820","6.45089","6.83405","2.9979","1464","7694","thing","Power Grid: Factory Manager","2","5","60","60","60","2009","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Stratelibri","Italian","2009","Italian edition"
